distance(mi),type,max_height(ft),min_height(ft),ascent(ft),descent(ft),avg_grade(%),max_grade(%),trail_name,difficulty,rating,description,state
1.2,Loop,742,602,141,136,4,11,Hemlock Cliffs Main Trail,Intermediate/Difficult,5.0,Do not drink the water! The numerous Hemlock trees in the area release toxins into the water. There are no restrooms or facilities of any kind for miles.,IN
0.6,Point to Point,667,591,79,43,4,15,Dune Succession Trail,Intermediate,4.5,"        The Dune Succession Trail (Loop 1) at West Beach highlights the four stages of dune development within its one-mile length. The actual trail is only ~0.6 miles long, but the loop totals one mile when the necessary jaunts along the road and West Beach Trail are factored in. From the parking lot, follow the road north, toward the lake and look for the trail to pick up to the west of the bathhouse. 

This scenic, but strenuous, trail includes a climb up 250 stairs for a spectacular view of Lake Michigan and Chicago. Support the restoration effort in the fragile dunes and ponds, or pannes, by remaining on designated trails.

The main trail is not accessible to wheelchairs. However, there is a paved road from the parking lot to the bathhouse that offers views of Lake Michigan that is accessible to wheelchairs. The main parking lot has spots for 596 cars and is open year round.

There are restroom facilities and potable water available year round in the West Beach Contact Station. Seasonal showers, lockers and a lifeguarded beach are available from Memorial Day weekend through Labor Day weekend.

Indiana Dunes National Park (formerly national lakeshore) was established to preserve portions of the Indiana Dunes and other areas of scenic, scientific, historic and recreational value. Up to two million annual visitors enjoy the park's 15,000 acres of wetlands, prairies, sand dunes, oak savannas, forests, and historic sites. The park's 15 miles of beaches hug the southern shore of Lake Michigan from Gary, IN, to Michigan City, IN. For more information, visit  nps.gov/indu/index.htm or  facebook.com/IndianaDunesNPS.
    ",IN
4.9,Loop,867,491,464,464,4,19,Buffalo Trace Trail,Intermediate,5.0,"        This is an easy to access trail that leaves from the French Lick Resort parking lot and traverses through forested hills.  Keep an eye out for other trail users, as this is a mixed use trail allowing those on foot in addition to biking and horseback riding.
    ",IN
5.8,Point to Point,642,583,63,119,1,12,Trail 10,Intermediate,4.1,"        Park at either the beach or at the Nature Center. The preferred direction is counter-clockwise. The first half of the hike is on flat to rolling trail in the forest. The footing is good with a mixture of sand and packed dirt. The trail is never crowded, even on summer weekends. 

At the furthest point east, the trail will turn north and climb over a steep vegetated sand dune. Footing is loose sand. Once to the lake, the trail back to the beach Pavilion runs along the beach. The beach is amazingly pristine. Take plenty of water as this hike will take longer than it appears due to the loose sand.
    ",IN
1.1,Point to Point,773,620,155,211,6,31,Trail 2,Difficult,5.0,"Be aware that the elevation profile for this trail, as well as many trails in Shades and Turkey Run State Parks are very inaccurate due to the small, deep ravines many of the trails pass through. These ravines typically do not show up well on terrain maps.

Trail may be impassible during periods of high water.",IN
1.3,Point to Point,767,592,20,181,3,15,Pine Hills Nature Preserve Trail,Difficult,5.0,"This trail features very hazardous and dangerous terrain. It is not recommended for children. Please exercise caution while on the ridgelines.

Be aware that the elevation profile for this trail, as well as many trails in Shades and Turkey Run State Parks, is very inaccurate due to the small, deep ravines many of the trails pass through. These ravines typically do not show up well on terrain maps. 

Trail may be impassible during periods of high water.",IN
22.9,Loop,861,409,3374,3370,6,27,The Adventure Hiking Trail Loop,Intermediate/Difficult,4.3,"        The trail is rough, rugged, and rutted in places, with a number of steep climbs and descents. Fallen trees, logs, and loose rock may be encountered at any time, as the trail receives minimal maintenance. 

The trail is marked with white and green markers. Some markers can be difficult to locate, especially in places where trees have fallen.

Beginning in the campground, near the entrance to the Horseman's Camp loop, follow the gravel access trail a short distance down to the Adventure Hiking Trail intersection on the right. 

The trail descends approximately one mile toward the Blue River, crossing the Breeden Ridge Trail, before dropping into the river valley and crossing the old Iron Bridge Road. (The trail runs through the bottom lands near the Blue River, and the area can be wet or closed during high water events.)

Following the edge of the Blue River for a mile or so, the trail climbs back up the ridges and crosses the Fire Tower Trail in two locations before descending again toward Fox Hollow, eventually climbing back up the hills for a view of the Blue River, near the trail intersection at Rendezvous Point. Just across the river is the old Stagecoach Campground.

The trail continues across a series of ridges and valleys for about 3 miles and after another descent, the trail climbs once again as it nears IN-462, and crosses that road a short distance from the O'Bannon Woods State Park entrance.

After crossing IN-462, the trail winds through a swampy area, and then once again descends through a rocky segment following a dry creek bed, before climbing again. The trail continues to twist and wind, with a number of shorter climbs and descents before a long climb to the Old Forest Road crossing. It's about 2 miles from crossing to crossing.

From Old Forest Road, the trail drops and climbs again, and joins a horse trail for a short segment along a ridge line. The trail breaks off and continues to wind through the woods before reaching the steep limestone bluffs that overlook Indian Creek far below. The trail follows along the edge of the bluff closely, before reaching the Indian Creek Shelter a short distance later.

From the Indian Creek Shelter, the trail descends and climbs a number of times, through rocky creek beds and up short hills, approximately 3.5 miles before reaching the Old Homestead Shelter.

Another series of short climbs is followed by long descent to the Cold Friday Road crossing, about 1.5 miles from the Old Homestead Shelter. The Cold Friday Road crossing is an excellent place to cache supplies, or leave a vehicle in case of an emergency.

From Cold Friday Road, the trail climbs up a steep rocky hillside, and makes a steep descent into a dry creek bed, before climbing steeply once again up a sharp switchback step. Following along the edge of another ridge, the trail descends and climbs once more, before reaching a long, scenic section that runs along the edge of the bluffs overlooking the Ohio River. The trail joins a horse trail for a short distance before reaching the Ohio River Overlook Shelter. It's about 2.8 miles from Cold Friday to the shelter.

From the Overlook Shelter, the trail makes a twisty mile-long descent toward Potato Run Creek and follows along a steep bank overlooking the creek. The trail crosses Potato Run Creek near the Pioneer Shelter and crosses the paved park road, climbing up a steep bank on the opposite side over a series of water bars.

The trail continues to climb the ridge and twists and winds through a series of short descents and climbs before eventually crossing the Breeden Ridge Trail. After crossing Breeden Ridge, the campground is a short distance away, with the trail joining the gravel access trail the hike began on.
    ",IN
1.5,Point to Point,789,702,130,43,2,10,Rim Trail,Intermediate,5.0,"        The Rim Trail is one of many trails within Depauw Nature Park. It starts with a tough, steep climb up to the rim of the quarry, then levels out for the remainder of the trail. This particular trail is great for trail running or hiking, but regardless of how you enjoy it, you'll want to take in the views as they are beautiful.  Nearly the entire trail follows the rim of the old rock quarry, so you'll be treated to a expansive vantage point of the whole quarry from anywhere you are.
    ",IN
5.7,Loop,662,573,247,246,2,12,Perimeter Loop,Intermediate,5.0,"        This is GBP's longest loop; follow the red shield ""Perimeter Loop"" blazes. Starting near the main parking area, the trail heads north through the forest before reaching a climb; the trail follows a wider trail NW along the lake. The trail turns north to a long section punctuated by switchbacks; a climb brings hikers to one of the park's tallest hills. 

After a descent, cross a bridge and then turn left. Follow along a pond, cross bridges and a short cobblestone section and then meander through the woods. After crossing another bridge, the trail passes over a few undulating bumps and then climbs out to a right turn. 

Here the Perimeter Loop joins the doubletrack dirt Moore Road that is followed for about a mile to a singletrack trail situated along the park's southern boundary. Take in gorgeous views of Stryker Lake before reaching the SW parking lot. The trail continues across the lot and follows short ridges with dips in-between. The trail then straightens out and leads to some switchbacks before ending near the main parking area.

This is a very popular area for mountains bikers. Be aware of your surroundings and of other users on the trail.
    ",IN
2.0,Loop,670,507,229,226,4,25,Trail 4,Difficult,5.0,"Trail 4 can be accessed from a few spots throughout the park. For our hike we took Trail 1 from behind the Spring Mill Inn to reach Trail 4. You can also access the trail from the parking area near the Pioneer Village. 

The trail takes you to many historical elements of the park. The Pioneer Village is a historical recreation of what life was like in this area in the 1800's. Log cabins and the working grist mill our manned by interpreters are open for you to explore. Upon approaching the Pioneer Village, you'll have two choices to continue your hike. One portion of the trail will take you thorough the village, and the other way takes you around the village. NO DOGS are allowed in the village, so plan accordingly. 

Just past the Pioneer Village, you'll pass Hamer Cave and eventually come across the Hamer Pioneer Cemetery. The path follows the back side of the cemetery along the fence. You'll need to work your way around to the front to access the cemetery if you wish to explore there. Be on the look out for grave markers identifying servicemen who fought and died for our country.

After the cemetery, you'll cross through a parking and picnic area and descend a long series of wooden steps taking you down to the creek. From here you can turn right for a very short spurt to Donaldson Cave. Turning left at the bottom of the steps completes the loop and takes you past the Wilson Monument honoring Andrew Wilson an early American ornithologist. The monument was erected in 1866 by George Donaldson, the former land owner.

You'll come across many hills and valleys and will be met with many rock formations that you'll need to work around on this trail. The park map calls this trail ""rugged"" and it lives up to it's classification.
    ",IN
3.2,Point to Point,834,696,0,138,1,2,B Line Trail,Easy/Intermediate,5.0,"        The B-Line Trail is a rails to trails conversion that offers perfect walking, running, and biking in the middle of downtown Bloomington. With easy access to many other trails and roads, this is one of the best fitness paths in the area.
    ",IN
2.3,Point to Point,626,442,249,260,4,25,Trail 6,Intermediate,5.0,"Entrance to the park in the warmer months is $7 for Indiana residents, and $9 for people out of state.",IN
0.6,Point to Point,813,725,88,96,6,23,Trail 7,Intermediate,5.0,Bathrooms  at the parking lot are closed during the winter months.,IN
1.8,Point to Point,668,542,311,259,6,21,Trail #2,Difficult,5.0,"        Most people park at either Newby Gulch shelter or the Nature Center for this trail. When parking at the Nature Center, take the 70 Steps Connector down to the bottom of the canyon. Turn left on Trail #1 until Trail #2 branches to the right.

Once on Trail #2, you'll enter Box Canyon, one of the most underrated canyons at Turkey Run. This canyon feels like trekking through a tropical rainforest in the summertime and is worth checking out. The trail climbs a stone staircase carved into the rock and is truly a sight to see. At the top, multiple pathways emerge and it can be difficult to determine which one is the trail. Continue straight, and the trail should become narrow again and bank to the right.

The trail now follows the canyon rim and dips down into the valley where it hugs the rock wall. Eventually you'll come to Gypsy Gulch, another underrated landmark at Turkey Run. The trail continues to hug the wall here, and sometimes a waterfall will form in the middle of the gulch which can be walked behind. After passing the gulch, the trail passes more interesting sandstone cliffs before meeting the Lusk Earth Fill Connector. Turn right and follow Trail #2.

The rest of the trail is pretty flat and traverses forest and a road before passing Canyon Shelter, some picnic areas, and some parking. The trail returns to the rock staircase, completing the loop. This trail is typically less trafficked, making it a nice trail to get away from the crowds at Turkey Run.
    ",IN
1.3,Loop,534,503,55,55,2,9,Trail 5,Intermediate,5.0,"        A short, fun hike around Spring Mill Lake. Passes by the Nature Center featuring numerous exhibits for people of all ages. The trail itself is easy, but not completely flat, and is less crowded than the rest of the park. The lake is typically infested with turtles in the summertime, and it's easy to spot hundreds of turtles during your hike. This trail is very good for kids and families, and doesn't take very long.
    ",IN
0.6,Point to Point,716,638,79,59,4,13,Trail 3 (Falls Trail),Intermediate/Difficult,5.0,You'll be climbing over rocks through the creek.,IN
3.9,Loop,580,559,115,115,1,8,Trail 1,Intermediate,5.0,"        Trail skirts the edge of the lake, and is sometimes very narrow. Trail improvements have been made, including stone and wood stairs, and wooden bridges and boardwalks, which can be very slick at times. Several points along the trail offer great views and photo opportunities.
    ",IN
0.4,Point to Point,586,517,84,84,7,16,Trail #6,Difficult,5.0,"        This is a very short trail that is crammed full with landmarks and things to see. I recommend this trail to everyone who pays a visit to Turkey Run State Park and I highly suggest trying this trail in the evening when the canyon gets cold and the crowds go away.

The start of this trail is behind the cabins near the Turkey Run Inn. After passing the cabins, the trail heads down into Turkey Run Hollow. Passing under the Old Highway Bridge, the trail follows the creek around a bend traversing boulders and small caves. About halfway, the trail meets with Trail #7, which is another underused but fantastic trail at Turkey Run. Trail #7 turns left, while Trail #6 continues to the right.

After crossing a bridge, the trail splits and goes to a small beach along Sugar Creek. Swimming is not allowed here, but it is a nice secluded spot to watch the river. Turning to the right, the trail continues by climbing up to Sunset Point, overlooking Sugar Creek from above. Nearby is the Lieber Cabin, which typically houses a few historical exhibits about the park and the area. Trail #6 finishes behind Turkey Run Inn.
    ",IN
0.8,Loop,1082,1073,22,22,1,3,Beach Trail #3,Easy/Intermediate,5.0,"
Land Manager:  Indiana State Parks
 ",IN
2.5,Point to Point,998,671,107,347,3,12,Hesitation Point Trail,Intermediate,5.0,"        Hesitation Point Trail is an out-and-back trail that ascends from Aynes Loop to the Hesitation Point Overlook. Users will pass the foundation of a CCC cabin at the base of the climb. A steep climb and technical features like multiple rocky sections, logs, large step-downs, bridges, and tight switchbacks make Hesitation Point a very interesting trail. 

The challenging climb brings you to the parking area at the overlook. Be sure to snap a few photos here, especially in the fall, before descending again. Hesitation Point connects with the Walnut Trail, which begins at this parking area, just on the other side of West Gate Rd.
    ",IN
4.5,Point to Point,611,585,61,72,1,3,Singing Sands Trail,Easy/Intermediate,5.0,"        There is one train track crossing that requires bikers to walk around but other than that it is pretty much paved or concrete the whole trail.
    ",IN
1.1,Point to Point,673,548,97,201,5,17,Amy Weingartner Branigin Peninsula Preserve Trail,Intermediate/Difficult,4.8,"        Park in the new Sycamore Land Trust lot, the beginning of the trail is clearly marked.  The HHC has constructed a short connector trail from the parking lot to the existing road. 

This was a little mucky during our visit, but short, and once you get back on the old road bed, the footing improves. The trail follows this road bed all the way out to the end of this small peninsula.  The entire length of this route provides lake views including a remarkable 360° panorama near the end.
    ",IN
1.4,Point to Point,853,641,311,101,6,16,Yellowwood Trail,Intermediate,5.0,"Some residents of the private properties here own dogs, and these canine friends roam freely near their territories. The several I have encountered over time on this trail have all been friendly - so if you respond in kind, all should be well. Remember, always get permission from a dog's owner before petting it, no matter how fluffy it is. Loose dogs in the area make the following rule all the more important:

""Dogs are welcome if leashed at all times. Please be prepared to clean up after your dog."" - Sycamore Land Trust general rule.",IN
1.6,Point to Point,801,782,24,37,1,2,Christmas Trail,Difficult,5.0,"        Christmas Trail is named as such because it looks like a tree laying on its side when viewed on a topographical map. The trail is designed as a set of back and forth dips with some tight turns and fun ups and downs. Toward the front half of the trail, there are two large jumps for mountain bikers. 

The back half of the trail gets a bit more technical with roots and rocks where you'll want to watch your step. This is a really fun part of the Franke Park Trail System.

Christmas Trail ends back at the creek crossing.
    ",IN
2.3,Point to Point,863,627,205,277,4,12,Fire Tower Trail,Intermediate,5.0,"        The Fire Tower Trail begins just off the parking lot at the base of the old fire tower and runs to the Class A Campground. Look for the wooden entrance gateway. 

The trail starts with a smooth, downhill, curvy segment weaving through a large hardwood forest, with numerous creek crossings and drains to be aware of. As the trail approaches the bluffs overlooking the Blue River, users will encounter more rocky conditions before arriving at a short rock feature that spans a wet area along the steep cliff side. This attention-demanding segment of the trail continues along the edge of the bluff for a short distance before reaching another smoother, easier section. A side trail on the right leads to a scenic overlook.

After a gradual climb to the Iron Bridge Road crossing, the trail continues to twist and turn and descends into a series of curves, toward a wooden bridge and an intersection with the Rocky Ridge Loop. Proceeding up the left fork at the intersection, Fire Tower Trail leads to the campground, the Potato Run Trail and the Breeden Ridge Trail, while a right turn will lead into the Rocky Ridge Loop. 

The trail twists and winds through another section of rocky limestone outcroppings before climbing to the other intersection with the Rocky Ridge Loop. Proceeding left at the fork, Fire Tower Trail continues to climb toward the campground, where water and restrooms are available. 

The Potato Run Trail is accessed by hiking a short distance to the left up one of the campground roads. The entrance is near the ice machine, by the campground gatehouse.
    ",IN
0.7,Point to Point,602,506,0,96,3,6,Nine Penny Branch Nature Preserve,Easy/Intermediate,5.0,There are no facilities or bathrooms.,IN
2.0,Point to Point,1050,940,156,204,3,9,Walnut Trail,Difficult,5.0,"        Walnut Trail is an advanced trail that will challenge most. You'll traverse narrow singletrack strewn with rocks, logs, roots, and off camber track. Keep an eye out for the expertly built rock bridges. 

Walnut is an out and back, so be aware of returning users. Walnut Trail connects with Hesitation Point Trail at the parking lot and with the north side of Limekiln Trail. 

The two entrances for the expert-only Schooner Trace Trail are also located on the north and south ends of Walnut Trail.
    ",IN
1.8,Loop,1036,738,272,382,9,21,Bobcat Trail,Difficult,5.0,"        Bobcat features narrow singletrack, rocks, narrow bridges, and a long climb/descent. Starting near Weedpatch Hill (the highest point in Brown County State Park) and dropping deep into the Valley below, the trail features 250 feet of elevation change.

While the entrance near Weedpatch is a show case piece machine-built by Spectrum Trail Designs, the rest of the trail has been hand built to ensure a rugged old school vibe.

This trail is complete. Bobcat Trail now loops back up to the Bobcat Connector .
    ",IN
6.0,Point to Point,565,493,40,112,0,3,National Road Heritage Trail,Easy,5.0,"There is a crossing at Hunt Road at the one mile mark. Hunt Road is a sometimes-busy rural road, so take care when crossing.",IN
2.0,Point to Point,741,576,43,166,2,7,Rocky Ridge Loop,Difficult,5.0,"        The Rocky Ridge Loop joins the Fire Tower Trail in two locations. Traveling downhill from the Fire Tower, the first intersection is just a short distance past the wooden bridge. 

At the signpost where the Fire Tower Trail meets the Rocky Ridge Loop, taking a right at the intersection will lead down Rocky Ridge, toward a rugged, rocky, rooted section, before descending into the neighboring ravine, crossing a typically dry creek bed. After a long climb, the entrance to the Breeden Ridge Trail will be on the right.

Taking the fork to the left, the Fire Tower Trail slowly climbs toward the Class A campground, through a scenic, rocky segment, where large limestone boulders line the edges of the pathway. 

At the next intersection, water and restrooms are available in the campground by taking the left fork, continuing up the Fire Tower Trail. Taking the right fork, following Rocky Ridge, the trail will lead to the Breeden Ridge intersection. 

After a short downhill and crossing a wooden bridge, the trail begins a long rolling descent through the woods. Part way down the trail, a fork to the left will lead to the Breeden Ridge Trail. Further down the trail, after a series of twists and turns, the trail transitions into a rocky and rooted section, following along the edge of a steep-sided ravine. After crossing a typically dry creek bed, the trail continues a rough, rugged and sometimes narrow climb. 

Watch for the rock ramp just when it almost seems like the trail has disappeared. Continue up a rocky climb, over a bridge and through the woods. A left turn at the trail intersection will return to the Fire Tower after a long, mostly uphill climb. A right turn will lead back to the campground.
    ",IN
1.0,Point to Point,471,424,72,47,2,18,Pahoka Adventure,Difficult,5.0,"        Pahoka Adventure is a two-way trail that starts at the middle of the Chute and ends at the Oka Run close to the Oka Run Creek crossing. It's a bit more challenging than Walnut or Oka Run. You'll find some short steep sections and a roller coaster section, built by and for the mountain biking community

Hikers will also find some narrow singletrack winding up-and-down and along the side of the hills. This trail is a work in progress, so be aware of new bike-specific features being added. Plans are to double the length in late 2017.
    ",IN
4.3,Point to Point,497,464,72,61,1,3,Dearborn Trail,Easy,5.0,"There are several parking areas along this trail so it can be access easily along the route. There are also some neighboring trails on either end of the trail, that while shorter may be something else to explore.",IN
0.7,Loop,917,779,138,134,8,21,Scout Ridge Nature Trail,Intermediate,5.0,"        This short yet intense trail starts in the Scout Ridge campground behind the large shelter-house. 

The trail follows the side of the ridge briefly before dropping into a rugged hollow. Following a creek bed, the trail becomes tricky at times due to rocks and water. After crossing a wooden bridge, the trail starts climbing, passing through a rocky area before ending back at the shelter-house. 

Don't be fooled by the short length of this trail. It is chock full of interesting sights and challenging natural features!
    ",IN
1.2,Point to Point,563,531,35,11,1,14,Trail of Many Colors,Easy,5.0,"        This is a portion of a 1.8 mile loop trail around the JI Case Wetland and through part of Hawthorn Park in Vigo County, Indiana. It is mostly flat, with a mix of surfaces including gravel, blacktop road, grass, and trail.
    ",IN
3.3,Point to Point,872,544,44,361,2,8,Group Camp Trail,Difficult,5.0,"        Look for the entrance gates to the trail almost opposite the road to the Fire Tower Lookout parking lot, near the front gatehouse.

The Group Camp Trail begins by weaving through the fallen pines, with poison ivy all along the edges. The hand-cut trail follows along the edge of a gentle ridge, past the raspberries and log hops, before crossing a horse trail. 

After crossing the horse trail, the Group Camp Trail begins to descend into a rugged, rocky, challenging section that follows along the edge of a deep ravine. The trail makes a turn just after a dry creek crossing, crosses a cobblestone minefield and continues along the ravine, past many limestone outcroppings, through a series of switchbacks and along a rocky, rooted segment, before reaching the Group Camp area. 

The trail winds through the woods, through a series of rollers around the Group Camp, before ending at the paved road. The entrance to the Potato Run Trail is just across the road.
    ",IN
0.5,Point to Point,858,826,52,26,3,10,Deadman's Curve Trail,Difficult,5.0,"        Expect tight switchbacks along the way.
    ",IN
1.2,Loop,649,560,94,93,3,13,Yellow Blaze Trail,Intermediate,5.0,"        The Yellow Trail is the simplest and shortest loop trail on the property. Going past several creek crossings, the cabins, and ending at the main trailhead, it gives you a quick tour of the grounds before putting you back into arm's reach of the other camp trails. This trail is well marked, not difficult, and comprised of a soft-dirt tread, making it a great trail for folks of all ages.
    ",IN
1.2,Point to Point,829,578,251,243,7,26,"Knobstone Trail (KT): Spurgeon Hollow Loop, West",Easy/Intermediate,5.0,"Comment Type:

 Lost or Found Item
    self-destructs in 30 days 
 Temporary (Condition Report, Upcoming Event, etc)
    self-destructs in 90 days 
 Beta for this Trail or Personal
    Opinion

",IN
0.1,Point to Point,636,529,108,0,16,25,Hamer Cave Access Trail,Easy/Intermediate,5.0,"Comment Type:

 Lost or Found Item
    self-destructs in 30 days 
 Temporary (Condition Report, Upcoming Event, etc)
    self-destructs in 90 days 
 Beta for this Trail or Personal
    Opinion

",IN
0.5,Loop,757,594,157,163,12,17,Ted T. Turtle Trail 1,Intermediate,5.0,"Length of dog leash must not exceed 6ft. - Hoosier National Forest ""developed recreation areas"" general rule.",IN
0.1,Point to Point,488,434,54,48,14,31,Waterfall/Fishing Access,Intermediate,5.0,"        Not a marked trail, but this short connector offers access for stream-bank fishing and a rather impressive cascading stream and waterfall.
    ",IN
0.4,Point to Point,819,723,4,100,5,13,Big Fire North,Intermediate,5.0,"
Land Manager:  Indy Parks and Recreation
 ",IN
0.8,Loop,853,835,34,39,2,3,Meadow Field Trail,Intermediate,5.0,"        This section of trail opens up from the woods into a meadow. It is mostly smooth, though it has a few climbs. It ends with some mountain bike features.
    ",IN
0.4,Point to Point,596,539,2,57,3,6,Ted T. Turtle Trail 2,Easy,5.0,"Length of dog leash must not exceed 6ft. - Hoosier National Forest ""developed recreation areas"" general rule.",IN
0.8,Point to Point,763,579,173,184,8,14,Trail 4,Difficult,5.0,"Be aware that the elevation profile for this trail, as well as many trails in Shades and Turkey Run State Parks, is very inaccurate due to the small, deep ravines many of the trails pass through. These ravines typically do not show up well on terrain maps. 

Trail may be impassible during periods of high water.",IN
0.3,Point to Point,799,735,0,64,4,10,Power Line,Difficult,5.0,"
Land Manager:  Indy Parks and Recreation
 ",IN
0.6,Point to Point,664,546,112,119,7,13,Trail #7,Intermediate,5.0,"        This trail can start at either the campground or Trail #6. If starting at the campground, take a right at the Y. The trail goes down a steep valley and meets a small creek. Turn left and follow the creek until intersecting Trail #6. Along this stretch there are a lot of boulders and unique picture opportunities due to the rocky landscape.

Take a left after meeting Trail #6. The trail then climbs a bluff and enters a pine forest. To the right of the trail are nice views of Sugar Creek from the top of the cliff. Eventually you'll come across a valley on the right which will seasonally feature a waterfall. Passing the waterfall and a sitting area, the trail rejoins the connector to the campground.
    ",IN
1.8,Point to Point,718,671,47,76,1,4,Meadowbrook Trail 1,Easy/Intermediate,5.0,"Comment Type:

 Lost or Found Item
    self-destructs in 30 days 
 Temporary (Condition Report, Upcoming Event, etc)
    self-destructs in 90 days 
 Beta for this Trail or Personal
    Opinion

",IN
0.3,Loop,854,828,25,26,3,11,Black and Blue,Difficult,5.0,"        Be ready to put some work in if you want to hike this trail!
    ",IN
0.7,Point to Point,974,955,19,22,1,3,Brum Woods Trail,Easy,5.0,"        This is a short trail connecting between Brum Woods to Liberty Park as well as Bill Gillespie Park and Batesville Youth Baseball/Softball Park.
    ",IN
0.7,Point to Point,755,567,177,188,10,22,Trail 5,Difficult,5.0,"Be aware that the elevation profile for this trail, as well as many trails in Shades and Turkey Run State Parks, is very inaccurate due to the small, deep ravines many of the trails pass through. These ravines typically do not show up well on terrain maps. 

Trail may be impassable during periods of high water.",IN
