distance(mi),type,max_height(ft),min_height(ft),ascent(ft),descent(ft),avg_grade(%),max_grade(%),trail_name,difficulty,rating,description,state
27.6,Point to Point,1564,1073,3692,3692,5,32,Gerard Hiking Trail,Intermediate,4.6,"        There are several parking areas at the Park Office at Petroleum Center. The trail starts directly behind the park office, and goes up a steep hill, following white blazes. In about a half a mile, there will be a sign that directs trail goers towards Miller Farm, following the yellow blazes. Visitors will follow the yellow blazed Girard trail for approximately 15 miles on the eastern side of Oil Creek, descending into the Oil Creek Valley, then ascending back up to the ridges several times.  The trail is mainly dirt singletrack, with numerous roots and rocks, a few muddy areas, but nothing terribly technical or difficult.

Once the visitor descends after 15 miles, they will cross a single-lane car-bridge (Jersey Bridge), go through a parking lot and up a paved bike trail for about two tenths of a mile.  They will then make a right onto the Gerard trail again, marked by a sign hanging over the singletrack trail.  Again, trail users will ascend and descend through the Oil Creek valley, staying on the Yellow blazed trail on the west side of Oil Creek.  There are several white blazed side trails, which cross the valley.  Be cautious of several road crossings - though not busy, drivers can be traveling quickly.  Once you come down to an Oil Derrick tableau, you'll come down a hill to a wooden arch bridge that brings visitors to a paved road. Cross over this road to the trail, and continue on for about a mile.  You'll come to another dirt road, and you'll turn left on this road to get back to the Petroleum Center parking area.

This long trail can be accessed from several points. The easiest access points are the Jersey Bridge parking area near Drake's Well Park or from the Oil Creek State Park park office at Petroleum Center which is how the trail is shown mapped here. There are permanent pit toilets located at the Petroleum Center parking areas, as well as water at the park office. During spring, summer and fall, there are port-a-johns located at the Jersey Bridge Parking area.  Maps are available at the Park office or at the parking area at Jersey Bridge.
    ",PA
42.3,Loop,2126,743,7776,7768,7,39,Black Forest Trail,Intermediate/Difficult,5.0,"Comment Type:

 Lost or Found Item
    self-destructs in 30 days 
 Temporary (Condition Report, Upcoming Event, etc)
    self-destructs in 90 days 
 Beta for this Trail or Personal
    Opinion

",PA
30.9,Point to Point,2043,876,4060,4373,5,26,West Rim Trail,Intermediate/Difficult,4.7,"Camping: Only primitive (tent) camping is allowed on the trail.  Camping permits are free.  Contact Tioga State Forest Office.

Water: Water is available along the trail at stream crossings.  There is less water on the southern half of the trail during summer.  All water must be purified in order to be considered safe to drink.

Wildlife Warning! In the spring and fall porcupine like to chew anything oil based, please take care to put moth balls around parked cars and do not leave any shoes, etc. out over night. During the summer there are A LOT of rattle snakes, be careful and do not let dogs roam free, leash only!",PA
3.8,Point to Point,2903,2522,543,520,5,28,McCune Trail,Intermediate/Difficult,4.7,"        This trail passes through various habitats and by evidence of the McCune Farm. Around mile 1, Hikers can see a stone foundation and an old springhouse and pond that serve as remnants of this working farm. The trail runs along the highest ridge in the park. 

The first half of the trail is very easy hiking along a wide, well-maintained trail. At the halfway point, there is a bench with a nice view overlooking the Youghiogheny River Valley. The second half of the trail is narrower with some inclines and is heavily forested with no more vistas, so feel free to turn back at the bench overlook if you're not looking for something wilder. 

The second half of the trail does include some old boulders, including one around 30 feet high that you can climb to the top. 

This is a lightly used and secluded trail, and it is a loop that brings you back to the small parking lot (which may fit 3-4 vehicles) at the trailhead.
    ",PA
4.2,Point to Point,2072,1873,399,256,3,11,Tussey Mountain Trail,Intermediate/Difficult,5.0,"        Tussey Mountain Trail is one of the best and well-known trails in Rothrock. It offers great views and great ridge hiking. A must-do trail.

You can hike it as an out-and-back starting from Bear Meadows road. Hike past the beer tap and it loops back to the tap. Or you can continue down The Tussey extension for more singletrack.
    ",PA
17.4,Point to Point,2078,1458,1735,1708,4,44,Twin Lakes Trail,Difficult,5.0,"Markings on the Twin Lakes Trail (TLT) vary in color. TLT is marked with white, off white and gray diamonds. Reflectors are on trees also for night hiking.",PA
17.8,Point to Point,1240,385,1256,1310,3,40,AT: Cumberland Valley A.T. Club (PA),Easy/Intermediate,5.0,"

Appalachian Trail (AT)


",PA
0.5,Point to Point,1362,595,767,0,29,53,Thousand Steps Trail,Difficult,5.0,"        Parking, as well as the trailhead, are on the side of US 22. Care must be taken, due to the fact that the trailhead is to the east of the parking area, and hiking near the road for a short distance is required. 

At the trailhead, signs describe the rules, trail, and history of the trail. According to the display, the steps were built in the 1930's for miners as they made their way to the Ledge Quarry, a sandstone mine. 

The steps start almost immediately and lead up the mountain. The trail is a tough 0.5 miles, but pull-offs are present for the occasional break. The steps are numbered every 100 so progress can be measured; each 100 is a worthy accomplishment! The usual fauna and flora of the area surround the trail, and it is a very enjoyable experience (one may not think so on the way up, but look around on the return trip!). 

Once the top step is achieved (step 1037 to be exact), a well-deserved rest is in order. If the quaking legs allow, a right (south) at the top of the steps is the Mount Union View Trail, and a left is the Standing Stone Trail-State Game Land 112 Segment. Return to the parking area on the same trail. Be careful on the way down; the steps are often slippery in the winter as they may be snow and ice covered.
    ",PA
3.0,Point to Point,1219,860,513,495,6,36,Tom's Run Loop,Intermediate/Difficult,5.0,The parking area is accessed from Tom's Run Road off of Duff Road and Route 65 and can NOT be accessed from the section of Tom's Run Road that intersects Roosevelt Road.,PA
1.6,Loop,1240,1123,166,165,4,21,Wolf Creek Narrows,Intermediate/Difficult,5.0,Parking by bridge for several cars.,PA
3.3,Point to Point,1882,1344,546,31,3,17,Lonberger Path,Intermediate/Difficult,5.0,"        The hike begins with a steep ascent over rock steps for about a half mile or so. Whenever you hit the top, you'll find yourself hiking over another rock path until it turns into a singletrack that forges through fern corridors. Great for hiking, trail running and mountain biking.
    ",PA
0.8,Loop,1018,992,25,27,1,4,Alan Seeger Loop Trail,Easy/Intermediate,5.0,"There is a nice, rustic, picnic pavilion area at the trailhead.",PA
13.6,Point to Point,705,179,2552,2465,7,46,Conestoga Trail,Intermediate/Difficult,5.0,"Comment Type:

 Lost or Found Item
    self-destructs in 30 days 
 Temporary (Condition Report, Upcoming Event, etc)
    self-destructs in 90 days 
 Beta for this Trail or Personal
    Opinion

",PA
0.7,Point to Point,1711,1184,527,0,15,34,Alligewi Rocks Trail,Very Difficult,5.0,"        This trail is an old logging trail that leads visitors up to a rock face that can be observed up close. Take your time exploring, especially as this area has many cave features. 

The trail features steep uphills and treefall obstacles, making the route fairly strenuous. However, the top of this route has a view of the Loyalhanna Gorge that can not be matched.
    ",PA
15.1,Point to Point,2418,1304,1585,2341,5,38,MST - Section 8,Intermediate/Difficult,5.0,"

Mid State Trail (MST)


",PA
2.0,Point to Point,430,175,281,168,4,22,Medium Loop,Intermediate/Difficult,5.0,"        Evansburg is a tough hike but mostly because of the hill. You have to climb it to enjoy the hike down :-).  

There are some technical sections but most can be avoided if you want to go around them. I love hiking so close to home. Feel free to hike the loop in either direction.
    ",PA
1.3,Point to Point,2065,1944,167,149,5,23,Hemlock Trail,Intermediate,5.0,Restrooms are at the beach in the park and at the boat launch area near the bridge end of the trail.,PA
0.9,Point to Point,2187,1927,259,0,5,10,Little Cherry Run Trail,Difficult,5.0,"        A beautiful connector trail between Cherry Run Trail and Mountain Springs Trail. The trail weaves through a gorge following the creek with a few footbridges. I was here when it was fully snow/ice covered, and it was great, but footing was tricky.
    ",PA
10.1,Point to Point,1863,619,2230,2141,8,38,MST - Section 15,Difficult,5.0,"

Mid State Trail (MST)


",PA
0.6,Point to Point,925,804,2,123,4,18,Memorial Trail,Difficult,5.0,Yield to all hikers and walkers. Crowded at top. Look out for dogs off leash.,PA
1.3,Point to Point,576,457,134,157,4,14,Forest Loop Trail,Difficult,5.0,"
Land Manager:  Chester County, PA - Chester County Parks
 ",PA
1.9,Point to Point,1963,1483,486,35,5,12,Ram Hill Trail,Intermediate,5.0,"Comment Type:

 Lost or Found Item
    self-destructs in 30 days 
 Temporary (Condition Report, Upcoming Event, etc)
    self-destructs in 90 days 
 Beta for this Trail or Personal
    Opinion

",PA
2.0,Loop,1345,1169,302,293,6,23,Anders Run Trail,Intermediate,5.0,"        There is a large parking area. This trail is frequently visited by familys getting out for a nice hike. There are no major hills and the trail is easy to follow. It crosses over a small creek. We always see red newts when we hike here. Our kids say it is one of their favorite hikes.
    ",PA
3.1,Point to Point,252,142,87,170,2,4,Multi-use Trail,Easy,5.0,"        A generously wide, paved path gives folks plenty of things to see while getting miles in. You can easily spend 30 minutes to an hour here.

Port-a-potties at the parking areas. Water fountain at the main parking lot - at the admin building.
    ",PA
1.5,Point to Point,1726,1246,1,480,6,20,Lingle Valley Trail,Difficult,5.0,"        Lingle Valley Trail is like taking a journey to the Land of the Lost. Surely pterodactyls have hunkered down to weather the millennia in this jumbly thicket of singletrack goodness.

This challenging downhill run crosses the stream no less than five times and winds its way through thick rhododendron bushes. One of the most unusual, beautiful, and thoroughly enjoyable trails in Cooper's Gapwith some serious steeps (in a couple early sections). So, do be a tad careful. 

Accessing this superb trail is done off of Chestnut Spring Trail, marked by a wooden post. You'll immediately start dropping like a stone, then you'll cross an old school bridge over the beginnings of Little Kettle Creek. Once you pass this, you'll soon find yourself among more moderate grades. There are a couple BIG logs, with stone and wooden ramps over them (for the bikers; you can probably just step over them..). The stream crossings are all wadeable (if the water is not at peak heights) and the trail twists like a dervish through crazy rhododendron land. 

At the end of the trail, you'll come out at a hunting camp.
    ",PA
0.9,Point to Point,1773,1610,163,118,6,78,Chestnut Spring Trail,Intermediate/Difficult,5.0,"        This is reroute of the old Chestnut Spring Trail, which used to connect two State Lease Camps. Both ends were badly erroded, so this reroute, combined with Dutch Alvin, have replaced those sections. 

The second half is sometimes called Chestnut Spring Extension, and connects over to Brush Ridge. It has one of the best descents, but is starting to show the tell tale signs of over use. Chances are it will be rerouted at some point in the future, but for now its a hoot!
    ",PA
75.4,Loop,2376,1101,8801,8809,4,44,Quehanna Trail,Intermediate/Difficult,4.8,Northwestern section relocated to much nicer trail. Mosquito Creek wet crossing is doable during low water.,PA
12.5,Point to Point,2455,1222,1654,1648,5,23,Black Loop,Intermediate/Difficult,4.7,"If you are new to the area, do not miss a visit to Fallingwater.",PA
1.7,Point to Point,1401,1143,30,287,4,13,Jonathan Run Trail,Intermediate,5.0,"        The trailhead parking lot is on Bruner Run Road. You cross over a narrow wooden bridge and a wide wooden bridge, both taking you across Jonathan Run, the creek. Toward the end of the trail, when you begin to descend toward the Great Allegheny Passage, look to your left and take the short spur trails to see the waterfall. You can even scramble all the way down to the creek and cool off! The creek and waterfalls are fullest in winter/spring, when we've had rain.
    ",PA
1.0,Point to Point,1145,793,0,352,7,15,Iron Gate,Difficult,4.7,"        Iron Gate is an awesome trail, offering a challenge to Pittsburgh'ers whom don't have much trail climbs within the city limits.  

Starting from the end of Fire Lane, enter the trail staying left at the first two forks.  You'll know you are on the correct path when you come to a 10' long wooden bridge.  Be careful at this bridge.  It tends to dip 1-2' in the middle, giving a little springboard launch as you cross over.

From this point on there are no major intersecting trails other than Concrete Block, which is easy enough to miss.  At the end of the trail you'll be standing above a baseball field, and what might be the highest point in Frick Park.  

With 350' of climb in under a mile, this trail tests conditioning.  For extra ""fun"" hit it up in winter when snow and ice have formed.
    ",PA
1.1,Point to Point,1107,1084,20,30,1,2,Bedford Heritage Trail,Easy,5.0,"Comment Type:

 Lost or Found Item
    self-destructs in 30 days 
 Temporary (Condition Report, Upcoming Event, etc)
    self-destructs in 90 days 
 Beta for this Trail or Personal
    Opinion

",PA
2.5,Point to Point,1857,1817,103,63,1,5,Bear Meadows Loop,Intermediate,5.0,"Comment Type:

 Lost or Found Item
    self-destructs in 30 days 
 Temporary (Condition Report, Upcoming Event, etc)
    self-destructs in 90 days 
 Beta for this Trail or Personal
    Opinion

",PA
3.6,Point to Point,1994,1660,86,370,2,10,Little Mountain Trail,Difficult,5.0,"        Little Mountain Trail would be over run with people if it was just near somewhere else, or it was easier to link into other hikes. As it is though, it's worth the effort it takes to get to it. 

After a short uphill, the trail is mostly all down over pretty easy grades. The trail can be quite rugged and rocky. There is a section referred to as ""the Slot"" where the trail goes through a 30 inch gap in two shoulder high boulders. 

The only intersection is a bit tricky, as Little Mountain actually veers right slightly but continues on the ridge. Al; maps show this intersection as being a right angle 4 way intersection, but that's not how it looks in real life, so be careful.
    ",PA
1.3,Point to Point,634,517,95,162,4,11,Octoraro Ridge Trail,Difficult,5.0,"
Land Manager:  Chester County, PA - Chester County Parks
 ",PA
0.3,Point to Point,1935,1393,542,0,34,54,Loysburg Flag Lookout Trail,Difficult,5.0,"        This trail is a short spur off of the MST - Section 3. Parking is available (but limited) near the intersection of SR 36 and SR 868. This trail is mostly unmarked, but a small sign with an arrow and ""flag"" mark the beginning of the trail at the junction with the MST - Section 3. 

The trail appeared to be well traveled but involves some scrambling. It is a steep grade and many loose rocks and gravel create a slippery surface; caution is advised. Once the summit is reached, a waving flag and gorgeous view are the rewards! A mailbox is present to note hikers' visits. Return on the same route.
    ",PA
3.4,Point to Point,2270,1475,31,817,5,45,Detweiler Run Rd.,Easy,5.0,"        This is more of a doubletrack trail as far as width but really only has one line down the center, making it a nice singletrack trail. It's okay for a mellow fire road hike.
    ",PA
14.5,Point to Point,1868,864,2537,2075,6,23,MST - Section 17,Difficult,5.0,"

Mid State Trail (MST)


",PA
0.0,Unknown,559,541,0,18,8,11,Marshall Waterfalls,Difficult,5.0,"Comment Type:

 Lost or Found Item
    self-destructs in 30 days 
 Temporary (Condition Report, Upcoming Event, etc)
    self-destructs in 90 days 
 Beta for this Trail or Personal
    Opinion

",PA
2.1,Point to Point,401,267,196,199,4,15,Dismal Run Trail,Intermediate,5.0,"        This trail offers steep hills, historic ruins, and a range of wildlife. Despite its name, Dismal Run is a pristine stream that runs through secluded woodlands. The hills on this trail provide a workout that offers great views across the valley. The trail also passes the intriguing ruins of a small 18th century stone cottage.

From the Scenic Loop, follow small signs to the beginning of the trail. You'll have to depart on a grass trail which will lead you out of ""Gate 6"". From the gate, follow orange blazes along a well marked double-wide trail. Watch out for double blazes, which will indicate a turn in the trail.
    ",PA
1.5,Point to Point,1556,1040,18,534,7,17,Yellow Ridge Descent,Intermediate,5.0,"To ascend this trail from Quarry Gap Road, the trailhead is directly behind the water authority bldg. #1 on Quarry Gap Road just 30 yards from Rt 233.  The trail is not blazed with tree markers but is easy to follow.",PA
1.6,Point to Point,1014,909,166,197,4,11,Log Trail (White),Difficult,5.0,"        A short climb up the powerline brings you to a Y intersection. Stay left and start climbing singletrack to another Y intersection marked with log trail blazes. You'll reach a third Y intersection and this route stays left following white trail blazes. 

You'll reach a T intersection at the bottom of this short downhill where you make a left. The trail is quite rocky and has several log-overs in this area. As you start to descend again, look for more log trail blazes to indicate a right-hand turn. Follow this new section of trail as it gradually goes up and down along the edge of the ridge. 

Eventually, it starts to switchback to climb back up to the highest point. The climb gets challenging, but momentum is your friend. Once you reach the top, you are rewarded with a fun downhill before one brief climb brings you back out to the powerline across from Uplands Trail (Blue).
    ",PA
0.9,Point to Point,1312,793,530,12,11,44,Pole Steeple Trail,Difficult,4.8,"
Land Manager:  PA DCNR - Michaux State Forest
 ",PA
0.7,Point to Point,1147,1142,2,5,0,0,Muddy Creek Holly Trail,Easy,5.0,"        This route is a short boardwalk trail that leads through deciduous forest. The trail leads to a pleasant overlook of Muddy Creek, a tributary of French Creek. The path is well shaded, and even in wet conditions, the boardwalk will keep your feet dry.
    ",PA
2.1,Point to Point,280,197,32,100,1,6,Skippack Village Trail,Easy,5.0,"        This trail connects you to the Village of Skippack from the Skippack Trail, which you can connect to from the Perkiomen Trail. Turn onto the trail from the Skippack Trail and follow it through Palmer Park. When you reach the bocce pavilion, take a right through the parking lot and cross over Creamery Road and go left onto the sidewalk.  

Follow the sidewalk around the corner and the trail picks up again. Follow it through the woods and take a right at the pond. Cross over Mensch Road and take a left onto the sidewalk again. Again, the trail picks up and takes you through the woods until it ends in the parking lot behind the Village. From here, you can reach all the shops and restaurants.
    ",PA
3.9,Point to Point,1222,917,266,393,3,15,Ray's Revenge,Intermediate,5.0,"        This trail requires some commitment. As the longest single trail in the Allegrippis, the far end of Rays is also about as far as you can go North and West (and doesnt have a bailout). 

This trail has a good amount of elevation change throughout. Begin the hike in the direction mapped by taking Berry Patch or Ridge to their NW terminus. All of these trails converge at a scenic area that overlooks the lake. Take in the view, and start Rays there. 

The first two miles of this trail are definitely the most fun, since most of it is DOWN. From the overlook, youll lose about 300 feet in this section.

The decision making arrives at the end of the downhill. If you are heading back to the Bakers Hollow Lot, take Sidewinder down hike up Osprey to take the quickest way back via Fawn or Doe. Going up on Sidewinder will be a bit longer by taking Loco Motive, Red Legs, Grippis and Allie. Or, for even a longer hike, you could use Osprey to access Hydro Loop, Eagle and Sleek Dog before working your way back.
    ",PA
2.4,Point to Point,339,196,147,122,2,7,Yellow Loop,Intermediate,5.0,"        The Yellow Loop is an easy hike through Stroud Preserve taking the hiker past wetlands and through woodlands and farmland. It begins at the same location as the Green Loop and the Red Loop near the small parking lot along Creek Road. 

The trail skirts farm fields and forests, occasional dipping into the trees. The trail is open to horseback riding and has a few mucky spots where the horses have pounded the dirt into mud (depending on season and recent weather).

Excellent for hikers, dog-walkers, and families interested in a day out. Well-marked and maintained. Excellent place to view foliage in the fall.
    ",PA
0.6,Point to Point,424,240,184,8,6,10,Cadet Trail,Easy,5.0,"        This trail is a pleasant outing that takes visitors from Croton Road to Brower Road. Along the way, the trail features 3 bridges along the McKaig stream, and showcases nice views of the Monkey Rock cliffs. Take you time to enjoy the scenery, as there are plenty of wildflowers during spring and summer, beautiful fall colors, and stunning views all year long.
    ",PA
1.8,Point to Point,379,196,185,148,4,22,Green Loop,Easy,5.0,"        Stroud Preserve consists of 571 acres of culturally and ecologically important land in Chester County. This rolling mosaic of once-pastured grasslands, working farmlands, and woodlands now serves as wildlife habitat and a unique site for research. 

The entrance to this trail can be found along Creek Road where there is a small parking area and an information kiosk with information about the other trails available on the preserve. 

This trail takes you over a small stone bridge and through the preserve through wetlands and forest. It is well maintained with beautiful views of the area.
    ",PA
0.1,Unknown,1490,1475,15,5,5,6,Sunset Overlook,Easy,5.0,"
Land Manager:  Hawk Mountain Sactuary
 ",PA
0.6,Point to Point,1857,1819,14,44,2,10,Jean Aron Path,Easy,5.0,"        Great walk to get to Bear Meadows Loop even for novice hikers like me. Lots of beautiful trees, foliage and mossy rocks.
    ",PA
1.2,Point to Point,1595,1073,558,36,10,29,Turkey Path,Difficult,5.0,"Comment Type:

 Lost or Found Item
    self-destructs in 30 days 
 Temporary (Condition Report, Upcoming Event, etc)
    self-destructs in 90 days 
 Beta for this Trail or Personal
    Opinion

",PA
3.2,Point to Point,2279,1716,1,564,3,11,Pig Pile Trail,Difficult,5.0,"        In the summer I think there are more spider webs on this trail than any other trail in the forest.  Otherwise this trail is awesome.

The trail mostly follows the ridge line under hemlock and oak canopy. A few spots allow beautiful views into Big Valley.
    ",PA
3.8,Point to Point,1298,1018,250,345,3,7,Allegheny Trail,Difficult,5.0,"        Allegheny Trail is at the far southern end of the Raystown trail network. It has a real backcountry feel with climbs, descents throughout thick forest.  You'll feel like you're in a jungle at times as the lush vegetation closes in around you.

From the intersection with Dirt Surfer and Shade, Allegheny has a steep-ish but short climb before an enjoyable descent to a road crossing. From there the downhill continues as it contours around steep hillsides. If you take a moment to check out the hillside below, you might notice how high up you are.  At some points you'll feel like you're hiking through the tree canopy. 

There's one more rugged climb and short descent before reaching the far end of Allegheny where it meets a junction with Dirt Surfer and Barrel Bay.  Stay left for a shorter connection back to Shade or stay right for a longer hike on Barrel Bay.
    ",PA
1.7,Point to Point,1802,1197,127,614,8,24,Lippencote Trail,Intermediate/Difficult,5.0,"Comment Type:

 Lost or Found Item
    self-destructs in 30 days 
 Temporary (Condition Report, Upcoming Event, etc)
    self-destructs in 90 days 
 Beta for this Trail or Personal
    Opinion

",PA
0.5,Point to Point,1187,1035,0,151,6,14,Bear Paw Trail,Intermediate,5.0,"        Bear Paw Trail is a pretty easy way to get up to Turkey Hill, but the trail can also be taken in the downhill direction. Near the bottom, you can either stay left and add an extra switchback or drop down directly to the field. Both options get you to the same place. Use caution exiting the trail onto State Route 524!
    ",PA
0.3,Point to Point,1388,1364,12,24,2,10,Mount Union View Trail,Easy,5.0,"        This trail is a spur off of the Standing Stone Trail-State Game Land 112 Segment and begins at the junction with the Thousand Steps Trail. From the top of the Thousand Steps Trail, to the right (south) is the Mount Union View Trail. 

At only 0.3 miles long, this trail is flat and an easy hike. The surface of the trail is at times rocky, and appropriate footwear is recommended. Leading to the top of Little Incline, this trail ends with a lookout to the east and a stunning view of the town of Mount Union nestled in the surrounding mountains.
    ",PA
1.0,Point to Point,554,449,112,36,3,8,Chief's Grove Trail,Intermediate,5.0,"        The trail begins at the visitors center to Crow's Nest Preserve. Visitors can follow the yellow arrows along the trail through the woods and meadows. Hikers will pass over a small stream on a bridge made of white oak decking. A glance to the left and you'll be looking into the forest, and a glance to the right gives you a peek into the meadows. A portion of the trail runs by French Creek before turning into an open meadow.
    ",PA
1.9,Point to Point,2291,1582,0,708,7,18,Crist Ridge Trail,Difficult,5.0,"        From intersection with Chappells Field Trail, the Crist Ridge Trail descends from the Chappells Field Trail to the paved road directly across from the connector to the Rock-n-Ridge trails and the Mowery Hollow Picnic Area. 

The descent of this trail starts as a fairly gradual 5% grade for the first 1.5 miles with a few rocks and some very brief uphills. After that, the trail transitions to a smoother with 11% drop for the last 1/2 mile featuring  banked turns. Crist Ridge Trail is also the easiest (though not the shortest) way to climb the mountain.
    ",PA
0.7,Point to Point,312,271,44,63,3,5,Parking Lot to Trailhead,Easy,5.0,"
Land Manager:  The Brandywine Conservancy
 ",PA
0.9,Point to Point,1450,1316,152,108,6,13,Black Hawk Trail,Difficult,5.0,"        Located on the northwestern portion of the park/lake, this trail contains lots of climbing and some rocky areas through forested areas.

Starting at Point M, the trail starts out with a modest non-technical climb, then the following downhill becomes rocky finishing out with a smooth downhill to point N, and another climb to Point O.
    ",PA
0.1,Point to Point,1007,980,0,27,5,11,Rock Trail,Very Difficult,5.0,"        This is a short, technical trail composed mostly of hand-laid rock. The majority of tread is a mixture of medium-sized flat rocks connecting larger slabs. Small sections of dirt singletrack exist in between long sections of rock.
    ",PA
1.4,Point to Point,1128,1013,25,115,2,5,Hickory Run Trail,Easy,5.0,"
Land Manager:  DCNR - Hickory Run State Park
 ",PA
0.6,Point to Point,522,501,29,26,2,4,Hopewell Trail,Easy,5.0,"        This trail connects visitors from Crow's Nest Preserve to the trail system that meanders through Hopewell Furnace. The trail is well marked and easy to follow, and the surface is easy to navigate.
    ",PA
3.4,Point to Point,1371,1295,219,226,2,12,Handlers Long Haul Trail,Difficult,5.0,"        Located on the northeastern portion of the park/lake, this trail contains uphills/downhills and is a little rugged on the most eastern portion. There are numerous views of the lake from the trail, so be sure to stop and enjoy it every once and a while.
    ",PA
