distance(mi),type,max_height(ft),min_height(ft),ascent(ft),descent(ft),avg_grade(%),max_grade(%),trail_name,difficulty,rating,description,state
1.8,Point to Point,4422,3931,559,78,7,32,Watchman Trail,Intermediate,4.3,"        Starting from the Visitor Center, this trail winds its way east, easily at first, then quite steeply. Eventually you'll gain the Watchman Trail mesa which affords views of the Towers of the Virgin, lower Zion Canyon, and Springdale.
    ",UT
0.8,Point to Point,4434,4307,128,4,3,5,Lower Emerald Pools Trail,Easy/Intermediate,3.8,"        From Zion Lodge, cross the footbridge that leads over the Virgin River. On the western bank, you'll intersect the Lower Emerald Pools Trail. Turn right and follow it to the north for a quarter-mile above the river. The trail then turns westward into Heaps Canyon and parallels a stream to the first of the Emerald Pools. 

Enjoy the beauty of the cascade, which flows at varying rates depending on season and precipitation, and then continue on the trail to the middle pool. The middle pool is located on the cliff above the lower pool and feeds the falls.
    ",UT
14.7,Point to Point,7453,4338,867,3981,6,78,West Rim Trail,Difficult,4.8,"        The trail starts at the West Rim Trailhead near Lava Point and traverses across the high alpine elevation with sweeping views out into the Wildcat Canyon area for the first 6.5 miles as you drop into Potato Hollow. Next, the trail climbs out of Potato Hollow before it splits into the Telephone Canyon Trail and the West Rim Trail.

The West Rim Trail follows along the rim with views of Phantom Valley and the canyons to the south. Although it is a little scary to hike so close to precipitous drop-off, this trail is well worth the journey. The views across Right Fork Canyon are astounding.

These include:
Church MesaInclined TempleIvins Mountainand Greatheart Mesa 
Near its southern terminus, this trail passes the famed Angel's Landing hike. This is not to be missed!
    ",UT
0.2,Point to Point,4435,4372,64,0,6,14,Weeping Rock Trail,Easy/Intermediate,4.0,"        This paved trail ends at a rock alcove with dripping springs. Look for trailside exhibits along the way which provide in depth information regarding the park's natural features.

The Weeping Rock is literally just that - a rock wall that seeps water from a spring. In the cold months, the ""tears"" of the rock can freeze, making for an awesome ice mural.
    ",UT
0.4,Point to Point,4755,4419,356,42,18,64,Upper Emerald Pools Trail,Intermediate,4.1,"        This is a very steep, often sandy and hot trail that connects to the Upper Emerald Pool. The trail leads through rocky outcrops and up to the base of a sheer cliff.
    ",UT
2.1,Point to Point,5495,5204,321,129,4,36,Devils Garden Main Trail,Intermediate,4.5,"        However much of the Devils Garden Trail system you complete, you'll leave happy.  From the Devils Garden trailhead, take the initially paved path over mostly level ground between rock fins.  Almost immediately, a signed fork announces the turnoff for Tunnel Arch Trail and Pine Tree Arch Trail.  These are short, easy detours and highly recommended.  

Return to the Devils Garden Main Trail, heading northwest through more widely spaced rock fin valleys.  At the next trail junction, stay left on the Devils Garden Main Trail towards Landscape Arch Trail, ignoring the Devils Garden Primitive Loop trail that heads north.  From here, take the paved path to Landscape Arch Trail and its spectacular viewpoint (more details about this impressive arch can be found on the Landscape Arch Trail trail page).  The part of the trail to Landscape arch is non-taxing and very family-friendly, but past this point be advised to keep kids under close supervision.

Back on the Devils Garden Main Trail, expect increased challenges as your route climbs over sandstone slabs and traverses narrow ledges with some exposure to heights.  Follow rock pile cairns to stay on the correct route.  Soon, you have the option to take the short spurs  Partition Arch Trail and Navajo Arch Trail to the southwest.  

These arches often have shade and make worthwhile detours, but if you're out of stamina or time it is OK to bypass them.  Further along the undulating Devils Garden Main Trail, cross more fins hiking over exposed, sun-baked ground.  After a sharp hairpin bend around the end of a fin, the Devils Garden Main Trail ends at a 3 way junction with the Dark Angel Trail and the Devils Garden Primitive Loop.  If you've got lots of time and energy left, visit Dark Angel and then consider tackling the more rugged Devils Garden Primitive Loop.  If you're already down for the count, better retrace your steps back to the parking area.  

Some words to the wise: take at least 1 quart (1 liter) of water per person, wear a hat, use sunscreen, take breaks. Visit early or late in the day if you want to avoid the crowds on this extremely popular trail.  Note: bikes are not allowed on this trail.
    ",UT
0.5,Point to Point,5728,5338,390,0,16,44,Angel's Landing Trail,Difficult,4.8,"        Access this trail via the West Rim Trail. Past Scout Lookout, you'll encounter both exposure and lots of people. Be wary of dangerous ice during non-summer months and do not proceed to the summit if storms are in the area or if the rock is wet. Be ready for wild temperature swings - from scorching sun on Walter's Wiggle to chilly shade in Refrigerator Canyon. Additionally, the stimulating summit pitch can be windy.

There are chains anchored by posts as optional assistance when the route is exposed. Grab them if you want. Regardless, you'll feel the rush. Exposure eases the last few hundred meters to the summit. Take a seat, stretch, and enjoy the divine view.
    ",UT
7.9,Loop,5738,4238,1649,1649,8,59,Syncline Loop Trail,Difficult,4.8,"        This difficult primitive trail does not feature views of Upheaval Dome per se.  Users should expect many steep climbs, tricky trail conditions and sparingly marked sections.  Most hikers choose to do the loop clockwise so that views are ahead and the sun is at your back for most of the route with an early start.  

From the 3-way intersection near the trailhead, follow the Syncline Loop Trail left, towards the west.  Hike over relatively level, sandy gravel surface next to looming sandstone formations and desert scrub.  Soon you reach a gap at the edge of a large drop off with views across the canyons.  Pay close attention to the cairns as you descend steep switchbacks through a long jumbled gully.  After a short mellow section, plunge down through another drop-off.  Finally, reach a dry wash where the grade eases considerably.  Marvel at the enormous sandstone walls towering above and around you.  Soon, a narrow canyon takes shape and the trail threads along its bottom.  

At the signed intersection with the Upheaval Canyon Trail, turn right to stay on the Syncline Loop Trail as it continues north.  Follow Syncline a short distance until it makes a sharp left and climbs a staircase of rock steps ascending a loose hillside.  Take your time and do not miss this critical route finding challenge.  At the signed junction with the Crater Spur Trail, stay left on the Syncline Loop Trail heading northeast.  What lies ahead is the beautiful Syncline Valley, arguably the most scenic part of the loop.  There are sometimes pools of water near the mouth of the valley that should be filtered before drinking.  A primitive backcountry campsite nearby requires permits for use.  

Next, struggle carefully through the dreaded boulder field, being sure to spot the next cairn ahead before proceeding.  Use an affixed metal cable and clamber over slabs of steep, exposed slickrock to reach a valley oasis with numerous trees.  After climbing a steep valley, the grade eases to be a more pleasant ascent.  Turn to the right and climb through a rugged gap in the canyon walls.  Scale ledges marked by cairns and finally emerge onto a sandy dry wash that threads through juniper and pinion back to the trailhead.  

Please note:  Apparently more users get lost on this route than on any other trail in the park, so concentrate on finding cairns.  If you lose your way, retrace your own footsteps back to the last place you saw a cairn and look for the next marker from there.
    ",UT
1.6,Point to Point,7989,7420,103,608,9,32,Queens Garden Trail,Intermediate,4.5,"        Prepare to be amazed by this magical trip through otherworldly rock formations. This popular trail can be crowded, especially at the top, but the throngs often thin out in the lower reaches. From Sunrise Point, drop into the canyon along a steep but wide trail along a ridgeline. Weave down through towering multicolored spires and past sparsely wooded areas. The most sweeping views occur at the top, but as you descend, the cliffs and hoodoos encroach. After a series of switchbacks and a few man-made tunnels, the descent eases considerably. Proceed through a ravine with multicolored hoodoos galore. Take the short spur to see the Queen Victoria formation - she's in the center viewing the spired garden around her.  

Back on the main trail, cross washes and forest over mostly level ground. Contour around the base of a large cliff formation before reaching a trail junction with the Navajo Loop and Peekaboo - Navajo Connector. The Queens Garden Trail officially ends here, but many nice loops can be constructed from this point.  

Bring yaktrax or other foot traction for winter travel. Some people with a fear of heights have reported feeling nervous in some parts. Keep kids away from the edges.
    ",UT
3.9,Point to Point,5731,4667,1160,865,10,151,Left Fork (The Subway),Difficult,4.9,"Permits are required to access this area from either direction. Please visit  nps.gov/zion/planyourvisit/… for more information.

Dry pants, hiking sticks, and neoprene socks are helpful in the colder months!",UT
0.6,Point to Point,4447,4356,91,9,3,6,Kayenta Trail,Easy/Intermediate,4.0,"        This short connector trail links the Grotto Bus Stop to the Emerald Pools. Hike along the mostly flat, well-maintained trail as it parallels the Virgin River to the south.
    ",UT
3.1,Loop,7796,7416,833,839,10,25,Peek-A-Boo Loop Trail,Intermediate/Difficult,4.7,"        This steep, roller coaster of a trail has delightful views of hoodoos and natural arch ""windows."" The Peek-A-Boo Loop can be accessed from both Sunrise and Sunset Points, but arguably the most straightforward and scenic route descends the Peek-A-Boo Loop Connector from Bryce Point. Therefore, this description begins at the southern tip of the loop and goes in the clockwise direction.  

From the ""T"" intersection with the Peek-A-Boo Loop Connector, take the left (western) half of the Peek-A-Boo Loop and pass the seasonal bathrooms. Climb up and down ridges and through steep switchbacks. This is a great treat for intrepid travelers who want to get up close to the colorful, surreal spires. Keep an eye out for the named rock formations: Wall of Windows, Hindu Temples and the Cathedral. After a long downhill section, the western half of the loop ends at the trail's lowest elevation point which is also the intersection of the Peek-A-Boo - Navajo Connector, Peek-A-Boo Connector and the Peek-A-Boo Loop Trails.  

To complete the Peek-A-Boo Loop, continue southwards along the eastern half of the loop now climbing steeply. Surmount a broad ridge and wind through its saddle next to the Fairly Castle rock formation. Another long descent deposits you back on the canyon bottom at a wide wash. Ascend the valley and the last few switchbacks to arrive at the start of the loop (at its southern tip). In case you're wondering, the trail name comes from the natural arch ""windows"" formed in the rocks.

Note: This trail receives heavy use by horse/mule riders - be sure to give them right of way and beware of the poop.
    ",UT
2.9,Point to Point,8275,5888,2387,0,16,36,Grandeur Peak Trail,Intermediate/Difficult,4.4,"        At Church Fork, you can either park at the entry to the Church Fork picnic area or you can risk going up to the Church Fork Trailhead, which has limited parking. The first mile of the hike is really nice and follows a stream. After you leave the stream, the trail follows the hillside with a number of switchbacks that can get quite hot during the summer. You'll reach a saddle about a mile from the top. From here, the trail gets a bit steeper, but there is nothing too difficult.

This trail dead-ends shortly after an intersection with the Pipeline Trail.
    ",UT
0.0,Unknown,5248,5242,6,0,2,5,Landscape Arch Trail,Easy/Intermediate,4.2,"        The trail to Landscape Arch is rightfully popular (but the arch itself seems mis-named- it sure looks more thin and delicate than Delicate Arch).  How often do you get to see the largest arch on the planet?  At 306 feet long, it beats Zion's Kolob arch by only 3 feet.  Landscape is about 11 feet thick at its center.  

To reach this amazing place, take the Devils Garden Trail to just where the Primitive Loop starts.  From here, take the left (west) fork. The easy Landscape Arch trail turns off the Primitive Trail to the west immediately after the fork.  The old Landscape Arch trail used to go all the way under the arch, but now a fenced viewpoint area is as close as you can get because of well-founded safety concerns.  

In 1991, a few pieces of Landscape Arch started to rain down, and then suddenly a 60 foot long chunk of rock fell from the underside of the arch's thinnest section.  The thin section is now about 5 feet narrower than it used to be.  Some of the large boulders under the arch are the results of this event.  Some folks think that this recent breakage bodes ill for Landscape Arch and that it will soon collapse completely.  Others believe that the arch may have just increased its longevity by shedding some weight and that the new, more balanced arch will persist.  Take your guess, but you best admire this fragile feat of nature while it still exists!

Early morning is thought to be the best time to photograph Landscape Arch for the best color.
    ",UT
0.2,Point to Point,5266,5205,61,0,5,10,Turret Arch Trail,Easy/Intermediate,4.3,"        Turret Arch is the smallest of the three arches you'll see on the Windows Loop Trail, but it is part of a more intricate, castle-like rock formation that includes a spire (hence the name).  There are two holes in this formation, one you can walk through and one high up on the rock face.  The views of the north and south Window Arches from inside the Turret Arch are neat.  The trail to Turret Arch is a very gentle incline with only a few stairs.  

To reach Turret Arch from the Windows/Turret parking area, take the Windows Loop in either direction and look for the Turret Arch turn off.  The most direct route would be the leg leaving to the south/southeast (rightmost trail facing the rock formations), the longer route would be the leg leaving north/northeast (leftmost trail facing the rock formations).  But truly, the Windows Loop is delightful and short, so completing the entire loop and all of its spurs is highly recommended.  

Early morning is thought to be the best time to photograph Turret Arch for the best color.
    ",UT
2.1,Point to Point,4841,4630,700,620,12,43,The Narrows - Wall Street to Big Springs Route,Difficult,4.9,"Hiking in The Narrows requires careful planning before starting, as it is a serious endeavor that can be both challenging and risky. Your safety is your responsibility and requires sound judgment, proper preparation, and constant observation. Contact the Zion park rangers at the visitor center for current water conditions, flash flood potential, and weather forecast.  

Upon reaching the end of The Narrows - Bottom Up Route, Go LEFT to begin this extension. Heading right leads into Orderville Canyon, which is prohibited by the park service.

Wall Street is the narrowest part of The Narrows and is where it truly becomes a slot canyon—at this point, the 2000 foot walls around you close to within 20 feet in areas. At approximately 0.5 miles from the Orderville fork, you'll pass Floating Rock: a giant rock bisecting the river that you can navigate around. 

Further up the canyon, keep your eyes and ears peeled for Hiccup Springs. While it is not very visible, other than a little crack on the left side of the river, you should be able to hear the gurgling noise when approximately 0.8 miles from the Orderville fork.

From here, the water will increasingly deepen in sections and the canyon walls will open up as you approach the Boulder Pair (approximately 1.5 miles). The Boulder Pair is a set of 2 giant boulders that block the river and mark the beginning of the boulder-obstacle portion of the route. While it's not very difficult to get through this obstacle, you'll still want to be careful as it's a long hike out to the parking area.

Next up, you'll find Sipping Turtle (another gurgling noise maker) roughly 1.8 miles from the Orderville fork. From here, it's only another 0.4 miles until you reach Big Springs and the end of your journey—you'll need to stop here unless you have a permit. Big Springs marks a great end to your journey, as the giant boulder and obvious waterfall are a great place to stop, grab some water and lunch, and prepare for your journey out.
    ",UT
4.3,Point to Point,8817,8070,824,476,6,23,White Pine Lake Trail,Intermediate,4.7,"        From the trailhead at the Tony Grove Lake parking lot, follow the signs leading to White Pine Lake. The trail initially ascends slowly through a sagebrush meadow with small groves of aspens and conifers throughout it. After less than a quarter of a mile, the trail splits off to the right (taking the trail to the left would take you to Mount Naomi, and it is well marked) and continues through forests and meadows with occasional views of the impressive Mount Magog. 

After about 2 miles from the trailhead, the trail ascends a long switchback and then breaks out into a clearing with amazing views of Mount Gog, another spectacular alpine peak, and if you go in the fall this is also a great place to see some beautiful, brilliant fall colors down below Gog. At this point, the trail starts to descend rapidly down into the White Pine Lake Cirque. 

At about 3.5 miles from the trailhead, the trail crosses a small bridge and then hits a trail junction at the sign that talks about the White Pine Lake Loop Trail and the White Pine-Bunchgrass Canyon Trail. The actual White Pine Lake Trail, instead of crossing the bridge, continues along the south side of the creek and eventually passes by the outlet of White Pine Lake and then follows the shores of the lake around to the north side of the lake where it meets up with the White Pine Lake Loop Trail again, where the trail ends.
    ",UT
2.1,Point to Point,5854,5215,689,269,8,65,Chesler Park Trail,Intermediate,4.8,"        Chesler Park Trail begins about two miles out from the Elephant Hill parking area or about three miles from the Squaw Flat parking area at Elephant Canyon. EC1 Campground is to the north of this intersection, while the Chesler Park Trail heads south into Elephant Canyon. 

Elephant Canyon is one of the most defined ancient canyons in this district, with red and white rocks towering above you. Continue south along the canyon bottom for about 4/5 of a mile until you come to another intersection with the Big Spring Canyon Trail. Continue south. In about a third of a mile, you'll come to an intersection with Druid Arch Trail. Make a right to head west. 

This next part of the trail involves climbing up and out of Elephant Canyon. Some scrambling is required, but it is more fun than difficult! Once you finish climbing out of the canyon, you'll be rewarded with views of Chesler Park - a flat area filled with desert grasses and walled in with towering red and white rock spires. Multiple campsites are also available to permit holders wishing to spend the night.
    ",UT
2.2,Point to Point,5424,5039,247,439,6,24,Devils Garden Primitive Loop,Intermediate/Difficult,4.7,"        The start of the Devils Garden Primitive Loop Trail is marked with a ""Caution: Primitive Trail, Difficult Hiking"" warning sign.  It is worth evaluating your water levels and experience over the last half of the Devils Garden Main Trail:  if you were terrified, don't do the Primitive Loop.  If you still feel energetic and successfully conquered the challenges of the Main Trail with aplomb, then you'll likely find the Primitive Loop to be similarly enjoyable.  

From the 3-way junction with Devils Garden Main Trail and the Dark Angel Trail, the Devils Garden Primitive Loop Trail begins with a moderately steep descent of Fin Canyon.  About halfway down, and about 0.4 miles from the beginning of the loop, look for the Private Arch Trail on the right (leading south/southeast).  This worthwhile detour is easy and visits an infrequently seen, isolated arch.    

Once back on the Devils Garden Primitive Loop Trail, continue downhill over rock spines, through sandy washes and slickrock sections, threading between mesmerizing fin canyons.  Some parts in this area become treacherous when the rock is wet or snowy.  There is one rock face that must be navigated via a ledge and another tricky spot where a depression often fills with water and must be circumnavigated.  Most hikers with grippy shoes report excitement without dunkings.  (If you are concerned about these obstacles, you can visit Private Arch and then retrace your steps back to the Devils Garden Main Trail.)

The remainder of the trail covers more open ground, ascending gradually to the junction with the Devils Garden Main Trail at the Landscape Arch area.  Some words to the wise: take at least 1 quart (1 liter) of water per person, wear a hat, use sunscreen, take breaks. This trail is more remote than others in the park, users should be completely self-sufficient.  Note: bikes are not allowed on this trail.
    ",UT
0.1,Unknown,5271,5193,78,0,11,18,Sand Dune Arch Trail,Easy/Intermediate,4.3,"        From the Sand Dune Arch parking area, head northeast on the Broken Arch Access trail and almost immediately take the spur trail towards the east, heading towards the sandstone fins.  Squeeze through the narrow slot canyon and arrive at the sandy base of this cute, stubby arch.  The pocket housing the lonely arch is often shady, which is a welcome respite in the warm months.  Kids enjoy playing in the sand here.

Do not proceed past the barricade south of the arch and ~definitely~ do not make more graffiti here.
    ",UT
3.3,Point to Point,9595,7650,1945,18,11,34,Red Pine Lake Trail,Intermediate/Difficult,4.6,"        After splitting off of the White Pine Trail, the trail ascends to a bridge crossing over White Pine Creek. After the creek crossing, the trail ascends slightly and then contours around the ridge that separates White Pine and Red Pine canyons, through brush and forest. In parts, this ascent up Red Pine Canyon can be steep, but is often manageable as the trail is mostly a smooth singletrack with some rocky portions. 

Eventually, the trail meets up with the junction with the Maybird Lakes Trail, and then continues south up Red Pine Canyon instead of crossing the creek. Soon after the trail split, a fork of Red Pine Creek actually crosses the trail and can make it pretty muddy and slippery certain times of the year, but it is generally very shallow. 

After the creek crosses the trail, the trail steepens and gets even more rocky, which can be a challenge for going down but is still pretty fun. Eventually, the steepest part of the trail abates and the slope gets gentler as the trail winds through some meadows right before reaching the lake. The actual Red Pine Lake Trail ends at the northern end of the lake, although there is a trail that goes all the way around the lake, as well as another trail that goes up to upper Red Pine Lake.
    ",UT
6.0,Point to Point,10943,6919,4043,20,13,35,Mount Timpanogos Trail #052,Difficult,5.0,"        The Aspen Grove trailhead is located at an elevation of 6,910 feet (2,106 meters) and the Mount Timpanogos Trail #052 works its way up the spectacular Primrose Cirque to the Emerald Lake basin.  Emerald Lake is located at 10,380 feet (3,164 meters), and some of the most incredible wildflower displays in Utah occur in the surrounding high-elevation meadows and hillsides.The trail then junctions with the Timpooneke Trail #053, and the Timpanogos Summit Trail #054.  Several waterfalls can be seen from the trail.

Mount Timpanogos offers views year round of spectacularly rugged terrain with outstanding glacial cirques, (the round, circular shaped valleys below the peaks) and moraines (masses of rocks, gravel, and sand deposited by glaciers). 

Trail users should be aware of the high level of use that this trail receives, and should expect to see each type of user group on any given day.  This is one of the most used trails on the Uinta-Wasatch-Cache NF and as such Saturdays and holidays can be prohibitively busy.  Users are encouraged to use this trail Sunday through Friday, avoiding Saturdays and Holidays.   As this hike does enter the Mount Timpanogos Wilderness area, keep group sizes fewer than 15 people.
    ",UT
1.8,Point to Point,6062,5068,995,1,10,31,Wind Caves Trail,Intermediate,4.4,"        From the parking lot, the trail is easy to find and follow and it starts off with a pretty steady but easy incline. As the trail continues, certain sections are pretty steep.

The trail starts in a forest canopy but eventually leaves the canopy for a more exposed hillside and from this part you get great views of Logan Canyon and the cliffs that sit underneath the Crimson Trail.

As the trail continues, there are many spur trails but they are usually blocked off or it is easy to see the main trail. Be sure to stay on the main trail because spur trails sometimes lead to nowhere, or to somewhere that you don't want to go, or they just cause erosion on this extremely popular trail, which is discouraged. 

As the trail gets closer to the top of the climb, it starts to level out and finishes out right on top of the wind caves, and it is just a short scramble to get down into the main cave, where you get the best views of Logan Canyon on the whole trail.
    ",UT
4.8,Point to Point,9377,5245,4141,9,16,52,Bells Canyon Trail,Difficult,4.6,"        Starting at the Granite Trailhead, you'll head up a relatively steep grade for about 0.3 miles (nothing too scary, but the difficulty may surprise if you're out of shape). After a few minutes of downhill, you'll head up to the Lower Bell Canyon Reservoir. There are trails around the reservoir, but stay to the left if you want to hit the waterfall. 

You'll follow a dirt road around the left of the reservoir for about 0.2 miles before turning left back onto the Bells Canyon Trail (it's well-marked). After another half-mile, you'll be at a nice creek crossing with a wooden bridge and crystal clear mountain water. This is a great place to stop for a rest. 

Continue on the trail into National Forest land for about a mile until you reach a trail junction at a large fir tree. It's not marked, but there is a well-worn trail that deviates to the left -- this is the side trail to the lower waterfall. Be careful here, as it's quite steep as you approach the falls, but it's definitely worth it. If you want to picnic, there's a great spot on some exposed rocks just below the falls. Most people stop here, but if you're feeling adventurous, why not take the trail to its end?

Backtrack to the main trail and head up another 1.5-2 miles, through forest, meadows, and boulder fields, creekside, until you make it to Upper Bell Canyon Reservoir. It's part of the Salt Lake watershed, so you can't swim in it, but it offers great views of the surrounding peaks. Camp near the reservoir (at least 200 feet from the water), if you want to stay overnight before heading back down.
    ",UT
2.0,Point to Point,5663,5284,43,393,4,17,Joint Trail,Intermediate,4.9,"        Located in a fairly isolated section of The Needles, this trail sees more visitors (relatively) due to its 4X4 access off Devils Lane Road. Starting from the eastern end, just north of the CP2 backcountry campsite, the trail heads south/southwest through the prairie. This ""approach"" provides a great opportunity to see the rocks that the trail will ultimately enter with expansive views beyond to the west. 

After a few hundred yards, the trail will turn right (north/northwest) and skirt the northern border of the rocks; a nice and easy stroll. The trail will begin to descend gradually and then when it arrives at the rocks, at an intersection sometimes marked with a cairn or wooden post, it will appear to vanish. 

Looking to the right, the trail continues down a ladder and enters one of the coolest areas, debatably, in the park. Here the trail travels along the bottom of a slot canyon whose walls begin to stretch higher and higher as the trail continues through the cool, shaded, sandy bottom. For those looking to explore, tighter and taller slots branch off this main route. For folks who are sensitive to tight spaces, this might be a challenging area as the slot can be fairly narrow (less than two body widths or a little greater than shoulder-width). 

Continuing into the slot, there are a couple log ladders to negotiate down some boulders. These aren't too difficult but may present a challenge for shorter and less-able-bodied visitors. Further along, the slot will open up to a large cave that is filled with cairns. This is a neat spot to explore before emerging north towards a more open canyon.

The final stretch of trail meanders through this more open canyon with some undulations along the way. Bending to the left (west, southwest), the trail crosses the Chesler Canyon wash and arrives at a small, yurt-style bathroom and parking area. To the west, the trail continues for a short segment to connect to the intersection of Devils Lane Road and Bobbys Hole Road.
    ",UT
2.3,Point to Point,8964,7550,1414,0,12,25,Silver Lake Trail,Intermediate,4.7,"        Start at the parking lot on the north end of Silver Lake Flat. Restrooms are located here along with Forest Service trail maps. Hike up the trail through a forest that alternates between pines and aspens. The trail crosses a small river that comes off of the high lake, take care to cross safely. Normally logs are placed across the small river but can occasionally become treacherous. Continue up the north side of the valley winding along the obvious trail through brush and aspens. 

The trail eventually leads up towards the base of a small dam. Away from the trail, beaver may sometimes be seen in the several pools that stem off from the dam. This is a great spot to sit and spot wildlife. 

Continue up to the lake, passing the dam. You're welcomed by a beautiful alpine view ringed by several high peaks, including White Baldy. After a nice break and perhaps a chilly swim, follow the trail back down to the parking lot.

*Note: snow will often be on the upper parts of the trail through Memorial Day. It is oftentimes passable, but plan ahead for it.
    ",UT
16.9,Point to Point,4819,4381,567,977,2,12,Buckskin Gulch,Intermediate/Difficult,5.0,"Your GPS will not work in the canyon. In most spots, you'll have only minimal view of the sky at all.",UT
1.7,Point to Point,4862,4725,45,166,2,8,Wire Pass Trail,Intermediate,4.7,"Permits are required for this hike, but they don't need to be reserved in advance. Get your permit ($6 per person and $6 per dog) from the box at the trailhead, or pay and print in advance on Recreation.gov. Also be sure you know the flash flood danger before you go. You can check with the BLM (Bureau of Land Management) office in Kanab or online before embarking this hike to ask about current conditions and risk.",UT
